Game,PromptType,Round,AgentName,Contribution,RoundPayoff,CumulativePayoff,CollaborationScore
1,Musketeers,1,Agent_1,5,12.50,12.50,
1,Musketeers,1,Agent_2,5,12.50,12.50,
1,Musketeers,1,Agent_3,5,12.50,12.50,
1,Musketeers,1,Agent_4,5,12.50,12.50,
1,Musketeers,2,Agent_1,5,13.25,25.75,
1,Musketeers,2,Agent_2,5,13.25,25.75,
1,Musketeers,2,Agent_3,6,12.25,24.75,
1,Musketeers,2,Agent_4,6,12.25,24.75,
1,Musketeers,3,Agent_1,5,14.38,40.12,
1,Musketeers,3,Agent_2,6,13.38,39.12,
1,Musketeers,3,Agent_3,7,12.38,37.12,
1,Musketeers,3,Agent_4,7,12.38,37.12,
1,Musketeers,4,Agent_1,5,14.00,54.12,
1,Musketeers,4,Agent_2,6,13.00,52.12,
1,Musketeers,4,Agent_3,8,11.00,48.12,
1,Musketeers,4,Agent_4,5,14.00,51.12,
1,Musketeers,5,Agent_1,5,13.62,67.75,
1,Musketeers,5,Agent_2,7,11.62,63.75,
1,Musketeers,5,Agent_3,5,13.62,61.75,
1,Musketeers,5,Agent_4,6,12.62,63.75,
1,Musketeers,final,All,,,,0.57
2,Musketeers,1,Agent_1,5,12.50,12.50,
2,Musketeers,1,Agent_2,5,12.50,12.50,
2,Musketeers,1,Agent_3,5,12.50,12.50,
2,Musketeers,1,Agent_4,5,12.50,12.50,
2,Musketeers,2,Agent_1,5,12.88,25.38,
2,Musketeers,2,Agent_2,6,11.88,24.38,
2,Musketeers,2,Agent_3,5,12.88,25.38,
2,Musketeers,2,Agent_4,5,12.88,25.38,
2,Musketeers,3,Agent_1,5,13.25,38.62,
2,Musketeers,3,Agent_2,7,11.25,35.62,
2,Musketeers,3,Agent_3,5,13.25,38.62,
2,Musketeers,3,Agent_4,5,13.25,38.62,
2,Musketeers,4,Agent_1,5,13.62,52.25,
2,Musketeers,4,Agent_2,8,10.62,46.25,
2,Musketeers,4,Agent_3,5,13.62,52.25,
2,Musketeers,4,Agent_4,5,13.62,52.25,
2,Musketeers,5,Agent_1,5,14.00,66.25,
2,Musketeers,5,Agent_2,9,10.00,56.25,
2,Musketeers,5,Agent_3,5,14.00,66.25,
2,Musketeers,5,Agent_4,5,14.00,66.25,
2,Musketeers,final,All,,,,0.55
3,Musketeers,1,Agent_1,5,12.50,12.50,
3,Musketeers,1,Agent_2,5,12.50,12.50,
3,Musketeers,1,Agent_3,5,12.50,12.50,
3,Musketeers,1,Agent_4,5,12.50,12.50,
3,Musketeers,2,Agent_1,6,11.88,24.38,
3,Musketeers,2,Agent_2,5,12.88,25.38,
3,Musketeers,2,Agent_3,5,12.88,25.38,
3,Musketeers,2,Agent_4,5,12.88,25.38,
3,Musketeers,3,Agent_1,7,11.25,35.62,
3,Musketeers,3,Agent_2,5,13.25,38.62,
3,Musketeers,3,Agent_3,5,13.25,38.62,
3,Musketeers,3,Agent_4,5,13.25,38.62,
3,Musketeers,4,Agent_1,8,10.62,46.25,
3,Musketeers,4,Agent_2,5,13.62,52.25,
3,Musketeers,4,Agent_3,5,13.62,52.25,
3,Musketeers,4,Agent_4,5,13.62,52.25,
3,Musketeers,5,Agent_1,9,10.00,56.25,
3,Musketeers,5,Agent_2,5,14.00,66.25,
3,Musketeers,5,Agent_3,5,14.00,66.25,
3,Musketeers,5,Agent_4,5,14.00,66.25,
3,Musketeers,final,All,,,,0.55
4,Musketeers,1,Agent_1,5,12.50,12.50,
4,Musketeers,1,Agent_2,5,12.50,12.50,
4,Musketeers,1,Agent_3,5,12.50,12.50,
4,Musketeers,1,Agent_4,5,12.50,12.50,
4,Musketeers,2,Agent_1,5,12.88,25.38,
4,Musketeers,2,Agent_2,5,12.88,25.38,
4,Musketeers,2,Agent_3,5,12.88,25.38,
4,Musketeers,2,Agent_4,6,11.88,24.38,
4,Musketeers,3,Agent_1,5,13.25,38.62,
4,Musketeers,3,Agent_2,5,13.25,38.62,
4,Musketeers,3,Agent_3,5,13.25,38.62,
4,Musketeers,3,Agent_4,7,11.25,35.62,
4,Musketeers,4,Agent_1,5,13.62,52.25,
4,Musketeers,4,Agent_2,5,13.62,52.25,
4,Musketeers,4,Agent_3,5,13.62,52.25,
4,Musketeers,4,Agent_4,8,10.62,46.25,
4,Musketeers,5,Agent_1,5,14.00,66.25,
4,Musketeers,5,Agent_2,5,14.00,66.25,
4,Musketeers,5,Agent_3,5,14.00,66.25,
4,Musketeers,5,Agent_4,9,10.00,56.25,
4,Musketeers,final,All,,,,0.55
5,Musketeers,1,Agent_1,5,12.50,12.50,
5,Musketeers,1,Agent_2,5,12.50,12.50,
5,Musketeers,1,Agent_3,5,12.50,12.50,
5,Musketeers,1,Agent_4,5,12.50,12.50,
5,Musketeers,2,Agent_1,5,12.50,25.00,
5,Musketeers,2,Agent_2,5,12.50,25.00,
5,Musketeers,2,Agent_3,5,12.50,25.00,
5,Musketeers,2,Agent_4,5,12.50,25.00,
5,Musketeers,3,Agent_1,5,12.50,37.50,
5,Musketeers,3,Agent_2,5,12.50,37.50,
5,Musketeers,3,Agent_3,5,12.50,37.50,
5,Musketeers,3,Agent_4,5,12.50,37.50,
5,Musketeers,4,Agent_1,5,12.50,50.00,
5,Musketeers,4,Agent_2,5,12.50,50.00,
5,Musketeers,4,Agent_3,5,12.50,50.00,
5,Musketeers,4,Agent_4,5,12.50,50.00,
5,Musketeers,5,Agent_1,5,12.50,62.50,
5,Musketeers,5,Agent_2,5,12.50,62.50,
5,Musketeers,5,Agent_3,5,12.50,62.50,
5,Musketeers,5,Agent_4,5,12.50,62.50,
5,Musketeers,final,All,,,,0.50
6,Musketeers,1,Agent_1,5,12.50,12.50,
6,Musketeers,1,Agent_2,5,12.50,12.50,
6,Musketeers,1,Agent_3,5,12.50,12.50,
6,Musketeers,1,Agent_4,5,12.50,12.50,
6,Musketeers,2,Agent_1,5,12.50,25.00,
6,Musketeers,2,Agent_2,5,12.50,25.00,
6,Musketeers,2,Agent_3,5,12.50,25.00,
6,Musketeers,2,Agent_4,5,12.50,25.00,
6,Musketeers,3,Agent_1,5,12.50,37.50,
6,Musketeers,3,Agent_2,5,12.50,37.50,
6,Musketeers,3,Agent_3,5,12.50,37.50,
6,Musketeers,3,Agent_4,5,12.50,37.50,
