Game,PromptType,Round,AgentName,Contribution,RoundPayoff,CumulativePayoff,CollaborationScore
1,OldManSons,1,Agent_1,5,12.50,12.50,
1,Turnip,1,Agent_2,5,12.50,12.50,
1,Musketeers,1,Agent_3,5,12.50,12.50,
1,Teamwork,1,Agent_4,5,12.50,12.50,
1,OldManSons,2,Agent_1,5,12.50,25.00,
1,Turnip,2,Agent_2,5,12.50,25.00,
1,Musketeers,2,Agent_3,5,12.50,25.00,
1,Teamwork,2,Agent_4,5,12.50,25.00,
1,OldManSons,3,Agent_1,5,12.50,37.50,
1,Turnip,3,Agent_2,5,12.50,37.50,
1,Musketeers,3,Agent_3,5,12.50,37.50,
1,Teamwork,3,Agent_4,5,12.50,37.50,
1,OldManSons,4,Agent_1,5,12.50,50.00,
1,Turnip,4,Agent_2,5,12.50,50.00,
1,Musketeers,4,Agent_3,5,12.50,50.00,
1,Teamwork,4,Agent_4,5,12.50,50.00,
1,OldManSons,5,Agent_1,5,12.50,62.50,
1,Turnip,5,Agent_2,5,12.50,62.50,
1,Musketeers,5,Agent_3,5,12.50,62.50,
1,Teamwork,5,Agent_4,5,12.50,62.50,
1,All,final,All,,,,0.50
2,Turnip,1,Agent_1,5,13.25,13.25,
2,Spoons,1,Agent_2,7,11.25,11.25,
2,Soup,1,Agent_3,5,13.25,13.25,
2,Peacemaker,1,Agent_4,5,13.25,13.25,
2,Turnip,2,Agent_1,5,14.00,27.25,
2,Spoons,2,Agent_2,8,11.00,22.25,
2,Soup,2,Agent_3,5,14.00,27.25,
2,Peacemaker,2,Agent_4,6,13.00,26.25,
2,Turnip,3,Agent_1,5,13.62,40.88,
2,Spoons,3,Agent_2,6,12.62,34.88,
2,Soup,3,Agent_3,5,13.62,40.88,
2,Peacemaker,3,Agent_4,7,11.62,37.88,
2,Turnip,4,Agent_1,5,13.62,54.50,
2,Spoons,4,Agent_2,5,13.62,48.50,
2,Soup,4,Agent_3,5,13.62,54.50,
2,Peacemaker,4,Agent_4,8,10.62,48.50,
2,Turnip,5,Agent_1,5,13.62,68.12,
2,Spoons,5,Agent_2,4,14.62,63.12,
2,Soup,5,Agent_3,5,13.62,68.12,
2,Peacemaker,5,Agent_4,9,9.62,58.12,
2,All,final,All,,,,0.57
3,OldManSons,1,Agent_1,5,12.50,12.50,
3,Teamwork,1,Agent_2,5,12.50,12.50,
3,Turnip,1,Agent_3,5,12.50,12.50,
3,Soup,1,Agent_4,5,12.50,12.50,
3,OldManSons,2,Agent_1,5,13.25,25.75,
3,Teamwork,2,Agent_2,5,13.25,25.75,
3,Turnip,2,Agent_3,6,12.25,24.75,
3,Soup,2,Agent_4,6,12.25,24.75,
3,OldManSons,3,Agent_1,5,14.00,39.75,
3,Teamwork,3,Agent_2,5,14.00,39.75,
3,Turnip,3,Agent_3,7,12.00,36.75,
3,Soup,3,Agent_4,7,12.00,36.75,
3,OldManSons,4,Agent_1,5,14.75,54.50,
3,Teamwork,4,Agent_2,5,14.75,54.50,
3,Turnip,4,Agent_3,8,11.75,48.50,
3,Soup,4,Agent_4,8,11.75,48.50,
3,OldManSons,5,Agent_1,5,15.50,70.00,
3,Teamwork,5,Agent_2,5,15.50,70.00,
3,Turnip,5,Agent_3,9,11.50,60.00,
3,Soup,5,Agent_4,9,11.50,60.00,
3,All,final,All,,,,0.60
4,Spoons,1,Agent_1,5,12.12,12.12,
4,Peacemaker,1,Agent_2,6,11.12,11.12,
4,Turnip,1,Agent_3,3,14.12,14.12,
4,Musketeers,1,Agent_4,5,12.12,12.12,
4,Spoons,2,Agent_1,5,12.88,25.00,
4,Peacemaker,2,Agent_2,6,11.88,23.00,
4,Turnip,2,Agent_3,4,13.88,28.00,
4,Musketeers,2,Agent_4,6,11.88,24.00,
4,Spoons,3,Agent_1,5,13.62,38.62,
4,Peacemaker,3,Agent_2,6,12.62,35.62,
4,Turnip,3,Agent_3,5,13.62,41.62,
4,Musketeers,3,Agent_4,7,11.62,35.62,
4,Spoons,4,Agent_1,5,14.38,53.00,
4,Peacemaker,4,Agent_2,6,13.38,49.00,
4,Turnip,4,Agent_3,6,13.38,55.00,
4,Musketeers,4,Agent_4,8,11.38,47.00,
4,Spoons,5,Agent_1,5,15.12,68.12,
4,Peacemaker,5,Agent_2,6,14.12,63.12,
4,Turnip,5,Agent_3,7,13.12,68.12,
4,Musketeers,5,Agent_4,9,11.12,58.12,
4,All,final,All,,,,0.57
5,Peacemaker,1,Agent_1,5,12.50,12.50,
5,Teamwork,1,Agent_2,5,12.50,12.50,
5,Turnip,1,Agent_3,5,12.50,12.50,
5,Odyssey,1,Agent_4,5,12.50,12.50,
5,Peacemaker,2,Agent_1,6,12.25,24.75,
5,Teamwork,2,Agent_2,5,13.25,25.75,
5,Turnip,2,Agent_3,5,13.25,25.75,
5,Odyssey,2,Agent_4,6,12.25,24.75,
5,Peacemaker,3,Agent_1,7,12.00,36.75,
5,Teamwork,3,Agent_2,5,14.00,39.75,
5,Turnip,3,Agent_3,5,14.00,39.75,
5,Odyssey,3,Agent_4,7,12.00,36.75,
5,Peacemaker,4,Agent_1,8,11.75,48.50,
5,Teamwork,4,Agent_2,5,14.75,54.50,
5,Turnip,4,Agent_3,5,14.75,54.50,
5,Odyssey,4,Agent_4,8,11.75,48.50,
5,Peacemaker,5,Agent_1,9,11.50,60.00,
5,Teamwork,5,Agent_2,5,15.50,70.00,
5,Turnip,5,Agent_3,5,15.50,70.00,
5,Odyssey,5,Agent_4,9,11.50,60.00,
5,All,final,All,,,,0.60
6,Spoons,1,Agent_1,5,12.50,12.50,
6,Soup,1,Agent_2,5,12.50,12.50,
6,Musketeers,1,Agent_3,5,12.50,12.50,
6,Peacemaker,1,Agent_4,5,12.50,12.50,
6,Spoons,2,Agent_1,6,11.88,24.38,
6,Soup,2,Agent_2,5,12.88,25.38,
6,Musketeers,2,Agent_3,5,12.88,25.38,
6,Peacemaker,2,Agent_4,5,12.88,25.38,
6,Spoons,3,Agent_1,7,11.25,35.62,
6,Soup,3,Agent_2,5,13.25,38.62,
6,Musketeers,3,Agent_3,5,13.25,38.62,
6,Peacemaker,3,Agent_4,5,13.25,38.62,
6,Spoons,4,Agent_1,8,10.62,46.25,
6,Soup,4,Agent_2,5,13.62,52.25,
6,Musketeers,4,Agent_3,5,13.62,52.25,
6,Peacemaker,4,Agent_4,5,13.62,52.25,
6,Spoons,5,Agent_1,9,10.00,56.25,
6,Soup,5,Agent_2,5,14.00,66.25,
6,Musketeers,5,Agent_3,5,14.00,66.25,
6,Peacemaker,5,Agent_4,5,14.00,66.25,
6,All,final,All,,,,0.55
7,Musketeers,1,Agent_1,5,12.50,12.50,
7,Odyssey,1,Agent_2,5,12.50,12.50,
7,Soup,1,Agent_3,5,12.50,12.50,
7,OldManSons,1,Agent_4,5,12.50,12.50,
7,Musketeers,2,Agent_1,6,12.62,25.12,
7,Odyssey,2,Agent_2,6,12.62,25.12,
7,Soup,2,Agent_3,6,12.62,25.12,
7,OldManSons,2,Agent_4,5,13.62,26.12,
7,Musketeers,3,Agent_1,4,14.62,39.75,
7,Odyssey,3,Agent_2,7,11.62,36.75,
7,Soup,3,Agent_3,7,11.62,36.75,
7,OldManSons,3,Agent_4,5,13.62,39.75,
7,Musketeers,4,Agent_1,5,14.75,54.50,
7,Odyssey,4,Agent_2,8,11.75,48.50,
7,Soup,4,Agent_3,8,11.75,48.50,
7,OldManSons,4,Agent_4,5,14.75,54.50,
7,Musketeers,5,Agent_1,7,14.25,68.75,
7,Odyssey,5,Agent_2,9,12.25,60.75,
7,Soup,5,Agent_3,9,12.25,60.75,
7,OldManSons,5,Agent_4,5,16.25,70.75,
7,All,final,All,,,,0.61
8,Soup,1,Agent_1,5,12.50,12.50,
8,Turnip,1,Agent_2,5,12.50,12.50,
8,Teamwork,1,Agent_3,5,12.50,12.50,
8,OldManSons,1,Agent_4,5,12.50,12.50,
8,Soup,2,Agent_1,5,12.88,25.38,
8,Turnip,2,Agent_2,5,12.88,25.38,
8,Teamwork,2,Agent_3,6,11.88,24.38,
8,OldManSons,2,Agent_4,5,12.88,25.38,
8,Soup,3,Agent_1,5,13.25,38.62,
8,Turnip,3,Agent_2,5,13.25,38.62,
8,Teamwork,3,Agent_3,7,11.25,35.62,
8,OldManSons,3,Agent_4,5,13.25,38.62,
8,Soup,4,Agent_1,5,13.62,52.25,
8,Turnip,4,Agent_2,5,13.62,52.25,
8,Teamwork,4,Agent_3,8,10.62,46.25,
8,OldManSons,4,Agent_4,5,13.62,52.25,
8,Soup,5,Agent_1,5,14.00,66.25,
8,Turnip,5,Agent_2,5,14.00,66.25,
8,Teamwork,5,Agent_3,9,10.00,56.25,
8,OldManSons,5,Agent_4,5,14.00,66.25,
8,All,final,All,,,,0.55
9,OldManSons,1,Agent_1,5,13.62,13.62,
9,Musketeers,1,Agent_2,5,13.62,13.62,
9,Spoons,1,Agent_3,5,13.62,13.62,
9,Soup,1,Agent_4,8,10.62,10.62,
9,OldManSons,2,Agent_1,5,13.62,27.25,
9,Musketeers,2,Agent_2,5,13.62,27.25,
9,Spoons,2,Agent_3,6,12.62,26.25,
9,Soup,2,Agent_4,7,11.62,22.25,
9,OldManSons,3,Agent_1,5,13.62,40.88,
9,Musketeers,3,Agent_2,5,13.62,40.88,
9,Spoons,3,Agent_3,7,11.62,37.88,
9,Soup,3,Agent_4,6,12.62,34.88,
9,OldManSons,4,Agent_1,5,13.25,54.12,
9,Musketeers,4,Agent_2,5,13.25,54.12,
9,Spoons,4,Agent_3,7,11.25,49.12,
9,Soup,4,Agent_4,5,13.25,48.12,
9,OldManSons,5,Agent_1,5,13.25,67.38,
9,Musketeers,5,Agent_2,5,13.25,67.38,
9,Spoons,5,Agent_3,8,10.25,59.38,
9,Soup,5,Agent_4,4,14.25,62.38,
9,All,final,All,,,,0.56
10,Musketeers,1,Agent_1,5,12.50,12.50,
10,Peacemaker,1,Agent_2,5,12.50,12.50,
10,Teamwork,1,Agent_3,5,12.50,12.50,
10,Odyssey,1,Agent_4,5,12.50,12.50,
10,Musketeers,2,Agent_1,6,12.25,24.75,
10,Peacemaker,2,Agent_2,5,13.25,25.75,
10,Teamwork,2,Agent_3,5,13.25,25.75,
10,Odyssey,2,Agent_4,6,12.25,24.75,
10,Musketeers,3,Agent_1,7,12.00,36.75,
10,Peacemaker,3,Agent_2,5,14.00,39.75,
10,Teamwork,3,Agent_3,5,14.00,39.75,
10,Odyssey,3,Agent_4,7,12.00,36.75,
10,Musketeers,4,Agent_1,8,11.75,48.50,
10,Peacemaker,4,Agent_2,5,14.75,54.50,
10,Teamwork,4,Agent_3,5,14.75,54.50,
10,Odyssey,4,Agent_4,8,11.75,48.50,
10,Musketeers,5,Agent_1,9,11.50,60.00,
10,Peacemaker,5,Agent_2,5,15.50,70.00,
10,Teamwork,5,Agent_3,5,15.50,70.00,
10,Odyssey,5,Agent_4,9,11.50,60.00,
10,All,final,All,,,,0.60
11,Turnip,1,Agent_1,5,12.50,12.50,
11,Musketeers,1,Agent_2,5,12.50,12.50,
11,OldManSons,1,Agent_3,5,12.50,12.50,
11,Peacemaker,1,Agent_4,5,12.50,12.50,
11,Turnip,2,Agent_1,6,12.25,24.75,
11,Musketeers,2,Agent_2,5,13.25,25.75,
11,OldManSons,2,Agent_3,5,13.25,25.75,
11,Peacemaker,2,Agent_4,6,12.25,24.75,
11,Turnip,3,Agent_1,7,12.00,36.75,
11,Musketeers,3,Agent_2,5,14.00,39.75,
11,OldManSons,3,Agent_3,5,14.00,39.75,
11,Peacemaker,3,Agent_4,7,12.00,36.75,
11,Turnip,4,Agent_1,8,11.75,48.50,
11,Musketeers,4,Agent_2,5,14.75,54.50,
11,OldManSons,4,Agent_3,5,14.75,54.50,
11,Peacemaker,4,Agent_4,8,11.75,48.50,
11,Turnip,5,Agent_1,9,11.50,60.00,
11,Musketeers,5,Agent_2,5,15.50,70.00,
11,OldManSons,5,Agent_3,5,15.50,70.00,
11,Peacemaker,5,Agent_4,9,11.50,60.00,
11,All,final,All,,,,0.60
12,Odyssey,1,Agent_1,5,12.50,12.50,
12,Soup,1,Agent_2,5,12.50,12.50,
12,OldManSons,1,Agent_3,5,12.50,12.50,
12,Peacemaker,1,Agent_4,5,12.50,12.50,
12,Odyssey,2,Agent_1,6,12.25,24.75,
12,Soup,2,Agent_2,5,13.25,25.75,
12,OldManSons,2,Agent_3,5,13.25,25.75,
